Baseline_discharge;Baseline_h_SJSR;Baseline_h_RP;Baseline_slope;alt1_discharge;alt1_h_SJSR;alt1_h_RP;alt1_slope;alt2_discharge;alt2_h_SJSR;alt2_h_RP;alt2_slope;alt3_discharge;alt3_h_SJSR;alt3_h_RP;alt3_slope
2092.532189;31.236839;31.833749;0.000016191325;2101.818567;31.211395;31.81848181;0.000016467390;2119.783988;30.977072;31.686393;0.000019240510;;;;
2098.294638;31.243037;31.840344;0.000016202117;2107.903173;31.218178;31.82542687;0.000016471790;2125.708336;30.984034;31.693320;0.000019239571;;;;
2104.058473;31.249219;31.846924;0.000016212922;2113.987955;31.224951;31.83235857;0.000016476099;2131.631087;30.990985;31.700238;0.000019238673;;;;
2109.819795;31.255386;31.853491;0.000016223758;2120.071781;31.231712;31.83927661;0.000016480358;2137.558330;30.997928;31.707147;0.000019237749;;;;
2115.577815;31.261539;31.860044;0.000016234621;2126.156557;31.238463;31.8461834;0.000016484588;2143.492757;31.004865;31.714050;0.000019236816;;;;
2121.345439;31.267675;31.866583;0.000016245526;2132.241735;31.245202;31.85307832;0.000016488818;2149.434208;31.011798;31.720947;0.000019235858;;;;
2127.116687;31.273796;31.873107;0.000016256468;2138.327642;31.251928;31.85996052;0.000016493030;2155.378892;31.018721;31.727837;0.000019234944;;;;
2132.883463;31.279899;31.879614;0.000016267427;2144.412755;31.258641;31.866828;0.000016497240;2161.327276;31.025641;31.734721;0.000019233964;;;;
2138.650704;31.285989;31.886108;0.000016278401;2150.498180;31.265342;31.8736833;0.000016501417;2167.283463;31.032570;31.741600;0.000019232608;;;;
2144.422921;31.292063;31.892587;0.000016289382;2156.584143;31.272033;31.88052699;0.000016505550;2173.237824;31.039486;31.748472;0.000019231446;;;;
2150.197612;31.298123;31.899052;0.000016300356;2162.671862;31.278718;31.88736134;0.000016509607;2179.205581;31.046429;31.755341;0.000019229424;;;;
2155.975510;31.304172;31.905505;0.000016311315;2168.760537;31.285394;31.89418488;0.000016513607;2185.180239;31.053379;31.762208;0.000019227156;;;;
2161.761359;31.310205;31.911941;0.000016322236;2174.849127;31.292061;31.90099593;0.000016517515;2191.149723;31.060314;31.769068;0.000019225159;;;;
2167.548137;31.316222;31.918359;0.000016333114;2180.938914;31.298723;31.9077973;0.000016521313;2197.118776;31.067243;31.775923;0.000019223135;;;;
2173.336876;31.322228;31.924764;0.000016343946;2187.027415;31.305376;31.91458641;0.000016524993;2203.094686;31.074187;31.782772;0.000019220545;;;;
2179.131172;31.328221;31.931154;0.000016354736;2193.115204;31.312022;31.92136323;0.000016528546;2209.054721;31.081089;31.789613;0.000019218925;;;;
2184.931594;31.334202;31.937532;0.000016365468;2199.205671;31.318663;31.92813092;0.000016531974;2215.007543;31.087972;31.796448;0.000019217606;;;;
2190.736970;31.340176;31.943899;0.000016376147;2205.299215;31.325301;31.93488964;0.000016535250;2220.955546;31.094842;31.803276;0.000019216449;;;;
2196.546678;31.346137;31.950252;0.000016386774;2211.394218;31.331935;31.94163869;0.000016538384;2226.893263;31.101691;31.810095;0.000019215633;;;;
2202.360854;31.352088;31.956593;0.000016397359;2217.490473;31.338563;31.9483782;0.000016541412;2232.825436;31.108526;31.816903;0.000019214920;;;;
2208.179833;31.358029;31.962924;0.000016407930;2223.588269;31.345185;31.95510875;0.000016544347;2238.756085;31.115350;31.823703;0.000019214257;;;;
2214.004778;31.363960;31.969244;0.000016418489;2229.685457;31.351800;31.9618297;0.000016547217;2244.685446;31.122164;31.830495;0.000019213671;;;;
2219.837760;31.369883;31.975555;0.000016429035;2235.782540;31.358409;31.96854287;0.000016550051;2250.614438;31.128967;31.837280;0.000019213187;;;;
2225.680120;31.375797;31.981858;0.000016439581;2241.880002;31.365011;31.97524814;0.000016552844;2256.543314;31.135760;31.844056;0.000019212697;;;;
2231.531178;31.381702;31.988153;0.000016450142;2247.977947;31.371607;31.98194545;0.000016555579;2262.469765;31.142543;31.850820;0.000019212202;;;;
2237.390386;31.387600;31.994441;0.000016460715;2254.074340;31.378195;31.9886344;0.000016558332;2268.384886;31.149316;31.857574;0.000019211687;;;;
2243.257855;31.393492;32.000723;0.000016471297;2260.171793;31.384777;31.995318;0.000016561096;2274.290959;31.156079;31.864318;0.000019211175;;;;
2249.129802;31.399375;32.006997;0.000016481896;2266.268041;31.391350;32.00199445;0.000016563892;2280.194197;31.162834;31.871054;0.000019210647;;;;
2255.006590;31.405250;32.013263;0.000016492505;2272.361157;31.397913;32.00866152;0.000016566706;2286.094844;31.169581;31.877780;0.000019210094;;;;
2260.889716;31.411119;32.019523;0.000016503107;2278.452930;31.404469;32.0153211;0.000016569536;2291.992705;31.176323;31.884500;0.000019209510;;;;
2266.778663;31.416982;32.025776;0.000016513692;2284.543100;31.411015;32.0219723;0.000016572374;2297.883348;31.183058;31.891213;0.000019208886;;;;
2272.671452;31.422838;32.032021;0.000016524239;2290.631805;31.417552;32.02861408;0.000016575227;2303.759613;31.189783;31.897913;0.000019208206;;;;
2278.566585;31.428689;32.038259;0.000016534743;2296.718287;31.424079;32.0352461;0.000016578071;2309.619812;31.196499;31.904601;0.000019207455;;;;
2284.463755;31.434534;32.044489;0.000016545185;2302.802241;31.430596;32.04186795;0.000016580905;2315.462441;31.203208;31.911279;0.000019206620;;;;
2290.361652;31.440374;32.050711;0.000016555547;2308.882034;31.437103;32.04847858;0.000016583713;2321.288690;31.209910;31.917947;0.000019205684;;;;
2296.259841;31.446211;32.056926;0.000016565821;2314.958484;31.443604;32.05508003;0.000016586457;2327.097753;31.216607;31.924606;0.000019204657;;;;
2302.157056;31.452043;32.063134;0.000016576004;2321.031818;31.450099;32.06167374;0.000016589117;2332.886881;31.223290;31.931247;0.000019203531;;;;
2308.052360;31.457872;32.069335;0.000016586096;2327.102806;31.456591;32.06826104;0.000016591700;2338.672140;31.229971;31.937883;0.000019202300;;;;
2313.945170;31.463698;32.075530;0.000016596110;2333.172234;31.463081;32.07484257;0.000016594187;2344.452168;31.236644;31.944507;0.000019200963;;;;
2319.835411;31.469521;32.081720;0.000016606047;2339.240473;31.469570;32.08141934;0.000016596582;2350.231183;31.243308;31.951118;0.000019199522;;;;
2325.723128;31.475342;32.087904;0.000016615893;2345.308402;31.476059;32.08799236;0.000016598856;2356.014882;31.249963;31.957716;0.000019197981;;;;
2331.609537;31.481163;32.094084;0.000016625644;2351.377024;31.482551;32.09456286;0.000016600985;2361.805311;31.256609;31.964301;0.000019196352;;;;
2337.494318;31.486982;32.100259;0.000016635295;2357.445883;31.489046;32.10113067;0.000016602965;2367.604275;31.263243;31.970873;0.000019194656;;;;
2343.377635;31.492800;32.106429;0.000016644851;2363.515045;31.495544;32.10769494;0.000016604763;2373.410054;31.269863;31.977430;0.000019192933;;;;
2349.261478;31.498616;32.112594;0.000016654318;2369.584804;31.502045;32.11425637;0.000016606397;2379.219478;31.276472;31.983974;0.000019191171;;;;
2355.145446;31.504430;32.118753;0.000016663684;2375.654573;31.508549;32.12081454;0.000016607878;2385.036016;31.282940;31.990352;0.000019188737;;;;
2361.030084;31.510242;32.124907;0.000016672943;2381.723496;31.515054;32.12736768;0.000016609171;2390.863946;31.289656;31.997027;0.000019187621;;;;
